entry,exit_ema,vol_floor,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
64,32,0.45,long,-78.21989924281927,-36.871079918417195,-1.2929561997613355,-81.27149387819185,0.942473539623975,589.0,35.0,40.0,-2.105671138543254
48,96,0.3,both,-96.05935484153186,-62.31693463033095,-1.1356001890031213,-97.3621513393835,0.9733969414236506,1400.0,25.0,40.0,-2.1092217023969564
48,32,0.3,long,-81.0282310550137,-39.447092641649625,-1.2633692463096124,-84.87850567181248,0.9521588974901612,877.0,30.0,40.0,-2.1121543030277374
32,64,0.6,long,-81.43639820892754,-39.843252115372444,-1.2647992825806706,-84.73681535721911,0.9497356757127642,530.0,27.500000000000004,40.0,-2.1121674361528617
96,48,0.3,both,-93.21341994350384,-55.59870925126705,-1.185699663602591,-96.83769187530459,0.9620398211157568,1018.0,22.5,40.0,-2.154076582355637
96,64,0.6,both,-92.71709358512219,-54.64274008086765,-1.2550300449043108,-95.35853434328351,0.9502701704745198,489.0,17.5,40.0,-2.208615388337146
64,96,0.45,both,-96.12588023334943,-62.51006832853319,-1.241889404968952,-96.90979919833461,0.9671557554109401,938.0,25.0,40.0,-2.210987396952298
64,16,0.3,long,-77.97048904181675,-36.653775081996606,-1.4138409388155508,-81.91193626894378,0.9307387016323506,868.0,27.500000000000004,40.0,-2.2329603015049884
96,96,0.6,both,-94.68832488648162,-58.76381287413033,-1.3083848647676741,-96.18316639126854,0.9547150858482581,457.0,15.0,40.0,-2.2702165286803595
64,16,0.6,long,-74.08187888892233,-33.4685157208383,-1.5307441439742429,-77.922404579038,0.900945039832082,449.0,22.5,40.0,-2.309968189764623
64,64,0.45,both,-96.09307508186843,-62.41454285475453,-1.3450727342894249,-97.24014268939695,0.9608636984073946,1003.0,27.500000000000004,40.0,-2.3174741611833944
48,96,0.45,both,-97.23587648449839,-66.14159623565038,-1.3576099927428527,-97.89949102912553,0.9652691719350267,1112.0,20.0,40.0,-2.336604903034108
96,48,0.45,both,-94.66256446335832,-58.703559519998905,-1.3750668274339215,-96.8877124246424,0.9514402849831546,804.0,17.5,40.0,-2.3439439516803455
48,64,0.3,both,-97.287880714191,-66.33512098798833,-1.3982659057234925,-98.35110554751473,0.9648948734368931,1509.0,27.500000000000004,40.0,-2.38177696119864
32,48,0.6,long,-84.85764737228699,-43.43019369697674,-1.5081031510043335,-87.6661256447164,0.9372306443731667,552.0,25.0,40.0,-2.3847644074514975
