strategy,split,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,exposure,trades,params
buy_and_hold,train,3.4838819269864896,0.4553407871503865,0.7316393012031597,0.8798193246612559,1.0739059484649671,-0.7719848663243941,0.5898312350582384,0.999971452225299,1,
buy_and_hold,test,2.9903539044165495,0.4752832678685057,0.465321496836935,1.0684397478244971,1.3662174082146756,-0.5374206479139312,0.8843785026001143,0.9999679240441365,1,
ema_crossover,train,5.41545702984467,0.591733192107202,0.48913884296328564,1.1953909321092935,1.0805714596598741,-0.5392762819213305,1.0972727930829413,0.5279339975448913,118,"{'fast': 72, 'slow': 336}"
ema_crossover,test,1.5201651937091647,0.2965691381987994,0.31868853835381566,0.9743015338014849,0.9474886517460446,-0.3015259201411816,0.9835610088178776,0.5380100076982294,97,"{'fast': 72, 'slow': 336}"
donchian_breakout,train,4.3153917749537465,0.5185908513062631,0.3912416390906668,1.263814625908442,0.879950587698639,-0.41938291369075575,1.2365569372925413,0.3118844386080105,82,"{'entry': 336, 'exit_n': 96}"
donchian_breakout,test,0.725288571193335,0.16561381465705027,0.26211618326311525,0.7157301328156465,0.5586000079858024,-0.3429316244839471,0.48293538079572124,0.35511290736463946,81,"{'entry': 336, 'exit_n': 96}"
rsi_mean_reversion,train,0.18542376838868657,0.04345616004653774,0.18434478716811228,0.3230704137080382,0.09463446577849623,-0.21434880936156042,0.20273571929777565,0.054269319706528873,28,"{'n': 21, 'lower': 30, 'upper': 65, 'trend': 300}"
rsi_mean_reversion,test,-0.26484958167496286,-0.08282191513615755,0.1256909903360687,-0.6248939228208786,-0.19214162497381634,-0.37446199958517146,-0.22117575408962076,0.05561970746728252,20,"{'n': 21, 'lower': 30, 'upper': 65, 'trend': 300}"
momentum,train,1.5486902249242602,0.2636044940059943,0.4460090897643688,0.7479146840092629,0.6402122535506485,-0.5460096429215064,0.4827835871094491,0.4413771446515744,882,"{'lookback': 168, 'trend': 400}"
momentum,test,-0.3490519878036028,-0.11364185699722651,0.30190825243066977,-0.24859947521534342,-0.22704902806305433,-0.5917441479234342,-0.1920455950363376,0.45730690274570185,851,"{'lookback': 168, 'trend': 400}"
trend_vol_target,train,0.40028859879033907,0.08784211252824603,0.458114244960318,0.4128663470862238,0.39625519118556923,-0.8026692813783411,0.1094374913381559,0.5227668503240173,2682,"{'trend': 200, 'atr_n': 96, 'target_atr_pct': 0.015}"
trend_vol_target,test,-0.46558399689752306,-0.16143234489695502,0.3280217380294073,-0.3727425907156725,-0.3700555153334199,-0.7172095885574492,-0.22508391894432142,0.523960739030023,1081,"{'trend': 200, 'atr_n': 96, 'target_atr_pct': 0.015}"
