family,config,period,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months
ORB,"ORB(anchor=13, opening=4, buffer_atr=0.25, max_hold=32, side='long')",TRAIN 2019-22,-54.450463169324934,-21.12644165892854,-0.5073169880112917,-57.20575795320742,0.9821756948328639,874.0,42.5,40
ORB,"ORB(anchor=13, opening=4, buffer_atr=0.25, max_hold=32, side='long')",VALID 2023-24,-30.52914550520076,-16.640654315279903,-0.5296952459709012,-37.653846655665326,0.9820210992529637,551.0,45.83333333333333,24
ORB,"ORB(anchor=13, opening=4, buffer_atr=0.25, max_hold=32, side='long')",TEST 2025+,-38.074014166419936,-26.32288475087784,-1.1690449839562052,-42.305491438968886,0.9619657322291626,420.0,21.052631578947366,19
ORB,"ORB(anchor=13, opening=4, buffer_atr=0.25, max_hold=32, side='long')",FULL,-80.40435626367976,-21.08291021155265,-0.6244210035051698,-82.38375537049924,0.9783061002964378,1845.0,38.55421686746988,83
VWAP_MR,"MR(anchor=0, opening=8, z_entry=3.0, max_hold=8, side='long')",TRAIN 2019-22,-6.326435544299224,-1.9530461405558919,-0.08670170712112177,-27.477723220664807,0.993124858833873,364.125,47.5,40
VWAP_MR,"MR(anchor=0, opening=8, z_entry=3.0, max_hold=8, side='long')",VALID 2023-24,-18.01486130397434,-9.44833171428895,-1.2289660732131746,-22.474431415610642,0.9177188325793831,202.5,33.33333333333333,24
VWAP_MR,"MR(anchor=0, opening=8, z_entry=3.0, max_hold=8, side='long')",TEST 2025+,-28.619480041591196,-19.338434657729408,-2.843782294548824,-29.678264608960415,0.8361727831906548,174.125,21.052631578947366,19
VWAP_MR,"MR(anchor=0, opening=8, z_entry=3.0, max_hold=8, side='long')",FULL,-45.18090151787158,-8.362278214819597,-0.7729410450330261,-58.14500336967336,0.9426026240968964,740.75,37.34939759036144,83
