year,strategy_%,buy_hold_%,edge_pp,max_dd_%,bh_max_dd_%,entries,exits,orders,exposure_%
2019,141.013491603522,94.40132064205781,46.61217096146417,-29.32548084774753,-52.61547365616198,18,18,36,47.026532479414456
2020,272.8799703568025,301.98283865444705,-29.102868297644548,-25.262247457879294,-56.013472567851785,24,23,47,60.36446469248291
2021,105.16565157418043,59.7895215780313,45.37612999614913,-25.508728942065428,-54.11455804635234,30,31,61,50.273972602739725
2022,-36.96165156458312,-64.20841886295786,27.24676729837473,-38.42908604270774,-67.21699431231937,23,23,46,18.812785388127853
2023,102.54444778592573,155.61702284580258,-53.07257505987684,-19.46412703092082,-21.1846205449999,17,16,33,53.6986301369863
2024,60.14671250694435,121.30576455446716,-61.15905204752281,-29.869204000834927,-30.006091405991597,30,31,61,57.83242258652095
2025,12.381259198001127,-6.334733264940262,18.71599246294139,-15.286168425674674,-34.36795714563663,22,22,44,34.657534246575345
2026,-5.649195687639031,-25.383530365309092,19.734334677670063,-17.06626693326816,-39.977846641763485,12,11,23,35.18518518518518
