series,return_%,cagr_%,sharpe,max_dd_%,profit_factor,exposure_%,entries,exits,orders
"EMA(24,168)",2919.14859737684,56.88151757437985,1.2754977718628757,-46.28296394465562,1.1234458892758064,53.573798178418485,63,62,125
buy_hold,1666.9801660529147,46.159119825039156,0.9315147395335184,-77.04553949481674,1.0658740958848247,100.0,0,0,0
