,ma250_2x_frozen,ma250_voltgt50_cap2,ma250_voltgt50_cap1.5
2018_bear,-79.9,-49.8,-46.1
2019_2020,2912.9,989.3,804.1
2021_bull,216.1,66.2,66.2
2022_bear,-59.1,-35.1,-33.4
2023_2024,899.4,356.9,322.3
2025_on,-42.4,-17.6,-20.9
