,return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades,liquidated,calmar,median_dd_pct,p05_dd_pct,prob_dd_worse_70pct
spot_1x_hold,466.5603566221168,21.409872713133062,0.6253329562959625,0.7898815048116581,-85.55678913471034,1,False,0.2502416573794386,-83.25,-96.62,87.33
ma250_1x,3863.5941096584766,50.92233866117937,1.1154779376140156,1.0354279101937887,-73.32090931376396,431,False,0.6945131905452258,-57.57,-77.73,14.0
ma250_1.5x,11874.796290634382,70.79050475060251,1.1154965914769386,1.035453226745811,-87.70350018438877,431,False,0.8071571214577731,-74.87,-91.0,68.33
ma250_2x_frozen,21937.943720931187,82.84972752667308,1.1155152407655833,1.0354785344414839,-94.76940652204557,431,False,0.8742243997001321,-86.5,-96.98,96.0
ma250_voltgt60_cap2,6839.937238110417,60.68079565425,1.2157870524178376,1.2063373937139084,-67.0939379483261,897,False,0.9044154734364328,-61.46,-79.96,25.33
ma250_voltgt50_cap2,4339.378435058651,52.84824625147606,1.2187485172383623,1.2118574156324522,-63.2762892053115,928,False,0.8351982538040474,-55.56,-73.08,8.33
ma250_voltgt50_cap1.5,3500.240196889078,49.307883195421454,1.2048502716609222,1.1873323818480137,-59.97782634603439,759,False,0.8221018699635084,-53.02,-72.32,6.67
