period,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months
TRAIN 2019-22,-29.799240414022588,-10.127588162347301,-0.13632012014133657,-60.48271779402704,0.9948611991183859,473.0,47.5,40.0
VALID 2023-24,30.914017934830195,14.407343119517746,0.662051947908943,-23.470449277382855,1.0263143214353005,245.0,45.83333333333333,24.0
TEST 2025+,-46.43202397416072,-32.826986681389236,-2.011326288768396,-50.47879677281042,0.9248997652888011,192.0,21.052631578947366,19.0
FULL,-50.769618518885196,-9.782600964624532,-0.2107957519277041,-72.8941943074945,0.9917488152394623,910.0,40.963855421686745,83.0
