series,return_%,cagr_%,sharpe,max_dd_%,exposure_%,entries,exits,orders
dual_trend,3897.585501050979,62.81073483969939,1.4286606541374414,-46.50574059414859,45.28620544061765,176,175,351
buy_hold,1666.9801660529147,46.159119825039156,0.9315147395335184,-77.04553949481674,100.0,0,0,0
