year,strategy_%,buy_hold_%,edge_pp,max_dd_%,bh_max_dd_%,entries,exits,orders,exposure_%
2019,100.65888660615828,94.40132064205781,6.257565964100453,-41.20343593531119,-52.61547365616198,5,5,10,53.29368709972553
2020,268.6825136265597,301.98283865444705,-33.30032502788738,-21.574959006629136,-56.013472567851785,12,11,23,70.06833712984056
2021,103.94260757637666,59.7895215780313,44.153085998345354,-32.15872006331031,-54.11455804635234,6,7,13,58.63013698630137
2022,-38.7536413643778,-64.20841886295786,25.45477749858005,-43.51284289289892,-67.21699431231937,9,9,18,25.616438356164384
2023,81.32635002753914,155.61702284580258,-74.29067281826343,-20.63699982508386,-21.1846205449999,9,8,17,64.38356164383562
2024,95.28948442012997,121.30576455446716,-26.016280134337187,-25.295972337331463,-30.006091405991597,7,8,15,65.34608378870675
2025,-6.595354496833872,-6.334733264940262,-0.26062123189360964,-20.475287590894396,-34.36795714563663,9,9,18,45.34246575342466
2026,-1.2181728470338715,-25.383530365309092,24.165357518275222,-13.341611372216677,-39.977846641763485,6,5,11,39.93558776167472
