scenario,return_%,cagr_%,sharpe,max_dd_%,profit_factor,exposure_%,entries,exits,orders
base,2919.14859737684,56.88151757437985,1.2754977718628757,-46.28296394465562,1.1234458892758064,53.573798178418485,63,62,125
cost 0.30%/side,2401.5957660699164,53.03091050841815,1.2164500050175857,-47.83713123294769,1.1172383972296849,53.573798178418485,63,62,125
cost 0.45%/side,1972.1763807217656,49.269225731108016,1.1572138234541967,-49.378025663574554,1.1110633242234997,53.573798178418485,63,62,125
cost 0.80%/side,1233.8339567426667,40.827034970438625,1.0184727585332627,-52.80702513522856,1.0968484935927159,53.573798178418485,63,62,125
delay 2 bars,2770.344696411799,55.83713559209078,1.2621089787266409,-51.86059115097701,1.1219369067695166,53.56776645153507,63,62,125
delay 3 bars,2265.9831916380153,51.90788801355994,1.2025126538076727,-56.431306042287474,1.1157107804199982,53.561734724651664,63,62,125
delay 6 bars,1827.5494014941714,47.84881946838062,1.1340066693143416,-62.6096358538067,1.1087849472412512,53.543639544001444,63,62,125
