scenario,return_%,cagr_%,sharpe,max_dd_%,exposure_%,entries,exits,orders
base,3897.585501050979,62.81073483969939,1.4286606541374414,-46.50574059414859,45.28620544061765,176,175,351
cost 0.30%/side,2258.888607310182,51.84761265920956,1.251802470609603,-51.41761762807273,45.28620544061765,176,175,351
cost 0.45%/side,1290.824302195937,41.607850070013356,1.0745700788318753,-55.88488742784061,45.28620544061765,176,175,351
cost 0.80%/side,304.18173937924547,20.271070877689446,0.6615213270418054,-64.79579749470258,45.28620544061765,176,175,351
delay 2 bars,3306.3005583545646,59.40297376840731,1.3773989943988272,-48.44287945523117,45.28017371373424,176,175,351
delay 3 bars,2777.878082354759,55.89112535511973,1.3214401155597777,-47.254159106965346,45.274141986850836,176,175,351
delay 6 bars,2183.3760557932574,51.19611844057652,1.243628308330818,-55.66039516718201,45.256046806200615,176,175,351
