fast,slow,return_%,cagr_%,sharpe,max_dd_%,profit_factor,exposure_%,entries,exits,orders
30,144,3718.8166373463127,61.829348703209305,1.353852562879947,-42.46469531781904,1.1311590339695687,53.597925085952106,66,65,131
12,192,3595.441202143598,61.1285307610411,1.3352924094655798,-50.43486848448018,1.1302184115912917,53.65221062790276,75,74,149
36,144,3181.899443726201,58.62116112399851,1.3062976409198792,-48.05184335277129,1.1264654978198159,53.45316364075035,59,58,117
36,240,3134.0417859328973,58.31353011649991,1.28655205407844,-53.826548997402725,1.1256249696250735,53.28427528801496,44,43,87
24,168,2919.14859737684,56.88151757437985,1.2754977718628757,-46.28296394465562,1.1234458892758064,53.573798178418485,63,62,125
48,144,2874.8701906924994,56.575505878021715,1.2719185715133798,-60.55642551412234,1.122900125610498,53.543639544001444,49,48,97
48,192,2914.378619584325,56.84873976314502,1.266213652283916,-62.25116410336319,1.1232210297101386,53.44110018698353,43,42,85
36,120,2790.02704783008,55.97793590110223,1.2642012354736052,-47.60845899898947,1.1220014169844552,53.73062307738705,69,68,137
18,192,2785.7178131315004,55.947180531740635,1.260674579022338,-48.664495473317345,1.1219215049785043,53.5918933590687,65,64,129
48,120,2692.8349420506393,55.27438347859381,1.2550193488119112,-52.298385354915666,1.1211272606809366,53.57982990530189,59,58,117
48,240,2761.5207648929077,55.77374023401234,1.250175298638718,-55.03114679853856,1.1215730405707207,53.314433922431995,37,36,73
12,240,2716.958042555168,55.45096448134532,1.2453456162365326,-51.994810954937535,1.1207987442379312,53.64617890101936,75,74,149
18,240,2705.683636435812,55.36859988760365,1.243872193082197,-53.584782610253235,1.120620842501439,53.736654804270465,59,58,117
30,192,2572.789405311314,54.37545714414718,1.2317941778489105,-56.82317262033063,1.119759908309333,53.45919536763375,51,50,101
36,192,2565.0978924787305,54.31667484091827,1.228765199580282,-61.83407355934817,1.1192864338463329,53.57982990530189,48,47,95
18,168,2283.6114199023013,52.05698053095975,1.2045810969975934,-52.29679083552809,1.116124111144786,53.52554436335123,74,73,147
30,240,2378.235594340378,52.84129104709719,1.2037153579807423,-58.54439488244927,1.1169358710654662,53.43506846010012,50,49,99
48,168,2314.4791186522953,52.315757622187654,1.1965333500427726,-63.44145123489086,1.1159371512845815,53.69443271608662,47,46,93
30,120,2190.000642412157,51.25401520074184,1.194261086861481,-49.00673201939277,1.1149805825407673,53.778876892454306,76,75,151
24,192,2081.3073907964035,50.28512596232233,1.175504046184221,-55.44163656351239,1.1131119684675432,53.52554436335123,57,56,113
30,168,2072.3559481852635,50.20347803384959,1.174731453421785,-54.04732766483822,1.1129134777422278,53.56776645153507,59,58,117
24,144,2033.4913933690386,49.84556519480432,1.1732138223175292,-49.1515460308994,1.1127959737552353,53.63411544725255,77,76,153
12,144,1970.3355698981889,49.251695059108734,1.1691954829196953,-52.71133349046575,1.1126251389572972,53.53760781711804,98,97,195
24,240,2091.263410862292,50.37559598943364,1.1675821859811777,-58.340879404801946,1.1130562503666337,53.543639544001444,55,54,109
24,120,1960.1369648203495,49.15432445664387,1.1639492568711305,-54.2948388825365,1.1121220718889777,53.778876892454306,83,82,165
36,168,1960.98343117801,49.16242194651854,1.156901217804393,-55.09073863069891,1.1112728203093638,53.54967127088486,54,53,107
18,144,1885.4240648050243,48.42796630898416,1.1503992987867513,-52.63454495163287,1.1106544526601696,53.760781711804086,84,83,167
12,168,1802.7005794752113,47.59551741119286,1.1390288617396314,-52.64814325108541,1.1096140978145204,53.47125882140057,91,90,181
12,120,1766.0798986880086,47.216932591063895,1.1371293452496682,-56.14603003953273,1.109542043986486,53.60998853971892,105,104,209
18,120,1544.505325383265,44.77821226978982,1.0926482842541407,-58.17464452418528,1.105169988021801,53.543639544001444,99,98,197
