strategy,variant,paper_only,timestamp_utc,closed_bar_time,closed_bar_date,run_number,dry_run,action,side,data_source,execution_source,theoretical_next_open_price,fill_timestamp_utc,fill_latency_minutes,btc_price,closed_price,target_exposure,actual_exposure,ema_trend,momentum_positive,sma_regime,filters_passed,ema_fast,ema_slow,momentum,trend_sma,btc_units_traded,trade_value_usd,cost_usd,cash_usd,btc_units,total_equity_usd,total_return_pct,drawdown_pct,gap_bars_processed,summary,late_recovery
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-07-28T14:44:53.761061+00:00,2026-07-28T08:00:00+00:00,2026-07-28 08:00:00+00:00,1,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,63449.99,2026-07-28T14:44:53.761061+00:00,164.9,63363.99,63450.0,1,1.0,True,True,True,3,64542.48,64242.75,0.018459,63114.22,0.15758197,9985.02,14.98,0.0,0.15758197,9985.02,-0.15,-0.15,1,"ENTER BTC; filters 3/3; BTC $63,364; equity $9,985.02.",
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-07-31T11:02:05.760271+00:00,2026-07-31T04:00:00+00:00,2026-07-31 04:00:00+00:00,18,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,63950.01,2026-07-31T11:02:05.760271+00:00,182.1,63955.99,63950.01,0,0.0,True,False,True,2,64363.11,64240.37,-0.003307,63171.69,-0.15758197,10078.31,15.12,10063.19,0.0,10063.19,0.63,-1.57,1,"EXIT cash; filters 2/3; BTC $63,956; equity $10,063.19.",
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-08-07T05:07:41.542867+00:00,2026-08-07T00:00:00+00:00,2026-08-07 00:00:00+00:00,54,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/late-recovery-current-kline,64289.99,2026-08-07T05:07:41.542867+00:00,67.69,64223.9,64289.99,1,1.0,True,True,True,3,64121.36,64039.84,0.004251,63491.98,0.15645455,10048.12,15.07,0.0,0.15645455,10048.12,0.48,-1.71,6,"ENTER BTC; filters 3/3; BTC $64,224; equity $10,048.12.",True
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-08-09T05:17:11.510119+00:00,2026-08-09T00:00:00+00:00,2026-08-09 00:00:00+00:00,66,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64788.8,2026-08-09T05:17:11.510119+00:00,77.19,64790.19,64788.8,0,0.0,True,False,True,2,64568.15,64175.18,-0.001249,63739.18,-0.15645455,10136.72,15.21,10121.51,0.0,10121.51,1.22,-1.0,1,"EXIT cash; filters 2/3; BTC $64,790; equity $10,121.51.",False
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-08-09T09:00:39.992849+00:00,2026-08-09T04:00:00+00:00,2026-08-09 04:00:00+00:00,67,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64826.15,2026-08-09T09:00:39.992849+00:00,60.67,64824.17,64826.14,1,1.0,True,True,True,3,64584.8,64184.15,0.008496,63761.27,0.15590412,10106.36,15.16,0.0,0.15590412,10106.36,1.06,-1.14,1,"ENTER BTC; filters 3/3; BTC $64,824; equity $10,106.36.",False
spot_4h_dual_trend_shadow,shadow_30_144_120_240,True,2026-08-09T13:13:18.871564+00:00,2026-08-09T08:00:00+00:00,2026-08-09 08:00:00+00:00,68,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64950.01,2026-08-09T13:13:18.871564+00:00,73.31,65017.9,64950.0,0,0.0,True,False,True,2,64608.36,64194.72,-0.0008,63785.26,-0.15590412,10136.56,15.2,10121.35,0.0,10121.35,1.21,-1.0,1,"EXIT cash; filters 2/3; BTC $65,018; equity $10,121.35.",False
