date,BH,REG,REG100,LEV,EQRISK
2010-10-28,1.3315177989934452,1.5565408469766555,1.7949164026733604,1.22443315066365,2.3797360611071494
2010-10-29,1.3381890638642342,1.5643395382748364,1.8039094200796688,1.2296400160587173,2.3993396230755333
2010-11-01,1.3603931702437482,1.590296080933489,1.8338410625837507,1.2483597066703864,2.465767695857794
2010-11-02,1.3607156581452169,1.5906730684522974,1.8342757836400125,1.2485772616521855,2.4663172506316724
2010-11-03,1.3699442412164746,1.6014612580814476,1.8467161243854056,1.2558677952498585,2.4939718662788772
2010-11-04,1.3969183454113165,1.6329939157910294,1.8830778328832884,1.2771475601185933,2.575990365218398
2010-11-08,1.395006003013785,1.6307583924976772,1.8804999516567276,1.27568875086096,2.569617756417057
2010-11-09,1.4013102614512523,1.6381280542289984,1.888998236009108,1.2804200924491436,2.588666515322004
2010-11-10,1.3955619417530172,1.631408283439192,1.8812493697739199,1.2761032434690158,2.570382454142245
2010-11-11,1.3774494141961116,1.610234785791901,1.8568332689675024,1.2623607589529473,2.513916343915054
2010-11-12,1.3501861567077977,1.5783641086336369,1.8200817752262441,1.240023391743495,2.429927956113787
2010-11-15,1.361293856150375,1.5913489804178378,1.8350552077560378,1.248515372509275,2.46306888498483
2010-11-16,1.3317401744891377,1.5568008033532612,1.7952161699202374,1.2244516507119545,2.3728491717344706
2010-11-18,1.3339860801302086,1.5594262612115224,1.7982437020171136,1.2239088396392201,2.379152837686896
2010-11-19,1.3098583388475227,1.531220994349768,1.7657189557309654,1.2239088396392201,2.3064805676677023
2010-11-22,1.3364767291146837,1.5623378234022396,1.8016011537304257,1.2239088396392201,2.3847793995586506
2010-11-23,1.3197429730637886,1.5427761060626357,1.7790436684029358,1.2239088396392201,2.334224058534702
2010-11-24,1.3043990638609744,1.5248391160768198,1.7583597283684267,1.2239088396392201,2.288245858018081
2010-11-25,1.2897222811452391,1.5076819952208218,1.7385750900745485,1.2239088396392201,2.2446129226942633
2010-11-26,1.2790927758838295,1.4952561311917834,1.724246274222121,1.2239088396392201,2.213156861446289
2010-11-29,1.2964491398899511,1.5155456756131542,1.72338415108501,1.2239088396392201,2.2112987769345915
2010-11-30,1.303720862031825,1.5240462999009012,1.7321888395135754,1.2239088396392201,2.2298812134404686
2010-12-01,1.3255580705598027,1.5495739399245185,1.7612028485701936,1.2239088396392201,2.2922064787559435
2010-12-02,1.336854810890076,1.5627798000151996,1.7762122636166675,1.2239088396392201,2.3246062747235245
2010-12-03,1.332651827156051,1.557866522951886,1.770627968903926,1.2239088396392201,2.311927330584659
2010-12-06,1.3325295640661339,1.5577235977174826,1.7704655240386127,1.2239088396392201,2.311166194525962
2010-12-07,1.3290382253510404,1.553642231832038,1.7658267565436894,1.2239088396392201,2.300593484104888
2010-12-08,1.3128382573552364,1.5347045113417483,1.7443026676224798,1.2239088396392201,2.253103614951496
2010-12-09,1.2823282959134483,1.4990384456986712,1.7037656046340957,1.2239088396392201,2.164787481709838
2010-12-10,1.3025311314135106,1.522655507899694,1.7029137218317787,1.2239088396392201,2.1629700063374626
2010-12-13,1.3137165754141524,1.5357312628702473,1.7166859815286415,1.2239088396392201,2.191963981525119
2010-12-14,1.3218222056648747,1.5452067235702667,1.727277932702343,1.2239088396392201,2.2142892096004974
2010-12-15,1.3103030898389085,1.5317409071029797,1.7122254434302129,1.2239088396392201,2.1814999345872317
2010-12-16,1.32285623000349,1.54641549533512,1.7286291336538122,1.2239088396392201,2.2162106837900404
2010-12-20,1.322478148228098,1.54597351872216,1.7281350790793069,1.2239088396392201,2.2147588938955294
2010-12-21,1.3343974965135978,1.5599072058946082,1.7437105681106637,1.2239088396392201,2.2478885939492974
2010-12-22,1.3307838947085873,1.5556829147747602,1.7389885301326222,1.2239088396392201,2.2372733637951714
2010-12-23,1.3298054642438952,1.5545391321040585,1.737709975919277,1.2239088396392201,2.2341194507577096
2010-12-24,1.3368325516241497,1.5627537789911738,1.7468925519957466,1.2239088396392201,2.2535514398819325
2010-12-27,1.3338304824322946,1.5592443679069923,1.742969628137066,1.2239088396392201,2.2446591185965423
2010-12-28,1.3333634721749825,1.5586984341297547,1.7423593671591946,1.2239088396392201,2.24294626653308
