date,1,2,3,4,5,6,7,8,9,10,11,12
2016,,,,,,,-0.06574307579040317,-0.12192428990192017,1.1302529565484498,-1.9425678909034683,4.115325433257477,1.8200762441865859
2017,1.7884358198382522,3.7198160066815866,0.6753241344508165,1.8500843409715362,1.1576251246327995,0.563221877793052,2.481202019973505,0.2738107495584785,1.9302978562167672,2.218813506615147,2.8082627806563787,0.9831630594270946
2018,5.617870412552772,-1.0980952651184706,-3.1481241631661883,-0.639666328788191,2.160834185458338,1.0741558578729826,4.9890543546906585,3.0263211276748248,0.42942874264615405,-11.171742916527405,1.785935665478,-9.17768946799724
2019,7.86844016658268,2.9728889343926923,1.7924256249588488,3.931349831373776,-9.050103158592293,8.218719881914872,1.3128152166958396,-3.688363199563882,1.7181177931020475,2.6272186176882206,3.4047037714499906,2.8589818905729647
2020,-0.16280928190488542,-13.102393022065662,-18.215366092576435,12.684403816527867,4.5281819665558665,1.8388396513924432,5.510132148044411,7.006466690171753,-3.922797017842261,-2.9262725859091954,16.370308906932095,3.712145909357023
2021,-1.113666075544506,2.6091451377448394,7.563307886577775,5.2425321347558285,3.108137425092372,2.221400956583497,2.274805482838871,2.8990416255438856,-6.2083495734363,9.675572930476694,-1.5843974511206227,6.784548523267686
2022,-8.25637616866416,-1.706090376857916,3.5773288371546474,-8.795671180434294,0.005317770464441374,-8.391999993382704,9.111639173021025,-4.244012827299793,-9.339567201327492,7.98634138370089,5.375289335249267,-5.897147407473069
2023,6.175285783467865,-2.6112493931818803,3.431992782731186,1.4642341662481462,0.2482347368193194,6.472746490423376,3.1138932355011084,-0.12701455787368365,-6.038215066135355,-0.9021744889584404,8.917926878196969,4.422923115635968
2024,1.5895707598991171,5.17206406237225,3.1018779915342964,-3.562201209609883,4.80211901511991,3.4669801283083057,3.2272174159647005,0.08019404870693858,2.019688409060083,-0.989674330315149,9.564081032928694,0.05389636844754797
2025,2.7016304240443434,-1.6194572308597666,-11.495977330538432,-0.7624943346289492,6.1523826140782445,4.960683946771627,2.1666562530641142,1.9066444295036122,3.532368721870216,4.792554113923964,2.0671377002519975,-0.05241344225136446
2026,2.9423431663855304,0.9380058073398478,-7.374977855016962,10.423338582985785,5.147035515724285,2.6101407556293976,-1.1651645527817833,,,,,
