date,1,2,3,4,5,6,7,8,9,10,11,12
2016,,,,,,,1.3750363510846686,0.8629564394817768,4.932096179541023,-1.5265535779416584,1.9617617106429508,1.0977373446580785
2017,5.2049686497748215,4.173336660576821,1.9871249647894995,2.7095947967013645,3.6763486079532948,-2.450937804026554,4.133406520354832,5.797632191558688,-0.15529995019016862,4.503207109554275,1.8724313906383072,0.48479415789324243
2018,8.654377280748161,2.41865187690955,-5.976651288056834,0.9299964539385197,5.482648217904917,1.9676119119351743,4.911243380747932,5.843072372434288,-0.3514237026360334,-18.86358059035953,-1.8592334274387667,-8.908313150507919
2019,9.113307161438012,2.7608855239173336,3.9625086880675786,5.457412825448471,-11.390118775734004,11.091885651359368,2.3164887502345577,-2.414840431190657,0.7599817359576377,7.93643431805624,3.9566592355833707,3.919599952029884
2020,2.959319504791824,-10.23286778485205,-18.476019973990987,15.191780452102188,6.1665452542727595,6.292893421195567,7.374631920769437,11.047437945825722,-5.719245079389312,-3.1976481883952967,17.81938663980689,5.053340189576194
2021,0.28785538945381717,0.4331602142514379,1.7906687967728097,5.876506409431581,-1.3539552286325085,6.344130490034017,2.7832783093796998,5.642786483660922,-8.132096914447928,10.02804332792615,1.800894233652528,3.6473120481854915
2022,-9.861802334555403,-4.636556765923605,4.218912053122237,-13.368546249348622,-1.6546363890859173,-9.004674207505193,12.554634799256936,-5.2204281242512085,-10.599799038066093,3.9589999723174785,5.475300582979936,-9.063128892379845
2023,10.623358709638131,-0.49421515292952245,9.46037309959653,0.4903945871674864,7.6106020881614,6.490208265336106,3.8064565978690235,-0.5688656657235946,-5.184176432753784,1.3152667975395493,14.405676728851912,5.505810894247198
2024,1.8501833340375695,5.2902880662282215,1.168485929080565,-4.552254580423753,6.283931265708209,6.183526828448493,-0.24783590067484207,-1.4720241553881186,2.4830536480155763,-0.8487720805800514,5.228392476552468,0.39082340450098396
2025,2.2171953734772654,-1.2800238757727178,-11.650854345474503,1.5176029419183612,9.043834943288442,6.2697162435076725,2.3771292511066022,0.8497707331718063,5.400587803760026,4.773667306233564,2.9053843735918683,-0.7275085957834659
2026,3.17785324350488,-1.2971785178022333,-7.060528086095752,15.635636332343461,10.494856634260575,-0.18735285489513975,-8.866652032402545,,,,,
