strategy,variant,timestamp_utc,closed_bar_time,run_number,dry_run,action,side,data_source,funding_source,btc_price,closed_price,sma250,target_exposure,actual_exposure,previous_exposure,btc_units_traded,trade_value_usd,cost_usd,funding_events,funding_rate_sum,funding_payment_usd,wallet_usd,btc_contract_qty,entry_price,total_equity_usd,total_return_pct,drawdown_pct,liquidated,gap_bars_processed,late_recovery,summary
ma250_voltarget_4h,voltarget,2026-09-04T07:11:16.719673+00:00,2026-09-04T00:00:00+00:00,1,False,ENTER,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,80878.4,80803.2,69063.09,1.124989,1.124989,0.0,0.13896351,11239.15,9.55,0,0.0,0.0,9990.45,0.13896351,80878.4,9990.45,-0.1,-0.1,False,1,False,"ENTER LONG target +1.12x (actual +1.125x); BTC $80,878, SMA250 $69,063; equity $9,990.45."
ma250_voltarget_4h,voltarget,2026-09-04T12:42:46.044009+00:00,2026-09-04T08:00:00+00:00,3,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,80049.7,81187.7,69197.34,1.11608,1.126535,1.126535,0.0,0.0,0.0,1,6.921e-05,0.7754,9989.67,0.13896351,80878.4,9874.51,-1.25,-1.25,False,2,False,"HOLD LONG target +1.12x (actual +1.127x); BTC $80,050, SMA250 $69,197; equity $9,874.51."
ma250_voltarget_4h,voltarget,2026-09-04T18:59:34.633419+00:00,2026-09-04T12:00:00+00:00,4,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,79600.1,79384.9,69258.43,1.02838,1.127397,1.127397,0.0,0.0,0.0,1,4.426e-05,0.4883,9989.18,0.13896351,80878.4,9811.55,-1.88,-1.88,False,1,False,"HOLD LONG target +1.03x (actual +1.127x); BTC $79,600, SMA250 $69,258; equity $9,811.55."
ma250_voltarget_4h,voltarget,2026-09-05T04:22:31.972778+00:00,2026-09-05T00:00:00+00:00,7,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,79525.3,79546.3,69445.89,1.067471,1.127504,1.127504,0.0,0.0,0.0,1,-2.218e-05,-0.2454,9989.43,0.13896351,80878.4,9801.4,-1.99,-1.99,False,2,False,"HOLD LONG target +1.07x (actual +1.128x); BTC $79,525, SMA250 $69,446; equity $9,801.40."
ma250_voltarget_4h,voltarget,2026-09-05T11:49:43.645012+00:00,2026-09-05T04:00:00+00:00,8,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,79593.6,79666.0,69507.97,1.072177,1.127408,1.127408,0.0,0.0,0.0,1,2.107e-05,0.2333,9989.2,0.13896351,80878.4,9810.65,-1.89,-1.89,False,1,False,"HOLD LONG target +1.07x (actual +1.127x); BTC $79,594, SMA250 $69,508; equity $9,810.65."
ma250_voltarget_4h,voltarget,2026-09-05T18:15:42.902783+00:00,2026-09-05T12:00:00+00:00,10,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,79947.0,79756.4,69630.52,1.072568,1.126745,1.126745,0.0,0.0,0.0,1,-2.21e-05,-0.2449,9989.44,0.13896351,80878.4,9860.01,-1.4,-1.4,False,1,False,"HOLD LONG target +1.07x (actual +1.127x); BTC $79,947, SMA250 $69,631; equity $9,860.01."
